"Year","Ext","Den","Calc","Name"
1955,2.642,1.28,3.381,Rib Reef 02A
1956,1.702,1.24,2.111,Rib Reef 02A
1957,1.778,1.274,2.266,Rib Reef 02A
1958,1.651,1.307,2.158,Rib Reef 02A
1959,1.549,1.331,2.062,Rib Reef 02A
1960,1.676,1.284,2.152,Rib Reef 02A
1961,1.803,1.184,2.136,Rib Reef 02A
1962,0.813,1.139,0.926,Rib Reef 02A
1963,1.219,1.155,1.408,Rib Reef 02A
1964,0.711,1.142,0.812,Rib Reef 02A
1965,1.93,1.185,2.288,Rib Reef 02A
1966,1.93,1.257,2.427,Rib Reef 02A
1967,1.549,1.254,1.944,Rib Reef 02A
1968,1.829,1.259,2.303,Rib Reef 02A
1969,1.753,1.256,2.201,Rib Reef 02A
1970,1.702,1.242,2.114,Rib Reef 02A
1971,0.94,1.203,1.131,Rib Reef 02A
1972,2.007,1.191,2.39,Rib Reef 02A
1973,2.769,1.203,3.33,Rib Reef 02A
1974,1.397,1.153,1.611,Rib Reef 02A
1975,2.007,1.246,2.499,Rib Reef 02A
1976,1.753,1.25,2.19,Rib Reef 02A
1977,1.854,1.209,2.242,Rib Reef 02A
1978,1.778,1.206,2.144,Rib Reef 02A
1979,1.651,1.21,1.998,Rib Reef 02A
1980,1.753,1.189,2.083,Rib Reef 02A
1981,1.753,1.177,2.063,Rib Reef 02A
1982,1.422,1.215,1.728,Rib Reef 02A
1983,1.549,1.163,1.803,Rib Reef 02A
