"Year","Ext","Den","Calc","Name"
1955,1.397,1.214,1.696,Sweet Lip Reef 02A
1956,1.05,1.182,1.241,Sweet Lip Reef 02A
1957,1.397,1.134,1.585,Sweet Lip Reef 02A
1958,1.266,1.116,1.413,Sweet Lip Reef 02A
1959,1.668,1.091,1.82,Sweet Lip Reef 02A
1960,1.803,1.118,2.016,Sweet Lip Reef 02A
1961,1.422,1.15,1.636,Sweet Lip Reef 02A
1962,1.219,1.137,1.386,Sweet Lip Reef 02A
1963,1.778,1.109,1.973,Sweet Lip Reef 02A
1964,1.067,1.105,1.179,Sweet Lip Reef 02A
1965,1.651,1.139,1.881,Sweet Lip Reef 02A
1966,1.6,1.098,1.758,Sweet Lip Reef 02A
1967,1.575,1.126,1.773,Sweet Lip Reef 02A
1968,1.6,1.09,1.744,Sweet Lip Reef 02A
1969,1.27,1.148,1.458,Sweet Lip Reef 02A
1970,1.6,1.166,1.866,Sweet Lip Reef 02A
1971,1.829,1.259,2.303,Sweet Lip Reef 02A
1972,1.295,1.215,1.574,Sweet Lip Reef 02A
1973,1.676,1.23,2.061,Sweet Lip Reef 02A
1974,1.143,1.243,1.421,Sweet Lip Reef 02A
1975,1.803,1.249,2.252,Sweet Lip Reef 02A
1976,1.727,1.281,2.213,Sweet Lip Reef 02A
1977,1.092,1.263,1.379,Sweet Lip Reef 02A
1978,1.575,1.336,2.103,Sweet Lip Reef 02A
1979,1.194,1.361,1.624,Sweet Lip Reef 02A
1980,1.397,1.341,1.874,Sweet Lip Reef 02A
1981,1.27,1.316,1.671,Sweet Lip Reef 02A
1982,1.27,1.352,1.717,Sweet Lip Reef 02A
1983,1.575,1.379,2.172,Sweet Lip Reef 02A
1984,0.914,1.361,1.245,Sweet Lip Reef 02A
1985,1.651,1.319,2.177,Sweet Lip Reef 02A
1986,1.194,1.28,1.527,Sweet Lip Reef 02A
1987,1.626,1.305,2.121,Sweet Lip Reef 02A
1988,1.905,1.318,2.511,Sweet Lip Reef 02A
1989,1.676,1.269,2.127,Sweet Lip Reef 02A
1990,1.321,1.266,1.672,Sweet Lip Reef 02A
1991,1.981,1.27,2.517,Sweet Lip Reef 02A
1992,1.27,1.265,1.606,Sweet Lip Reef 02A
1993,1.499,1.293,1.938,Sweet Lip Reef 02A
1994,0.94,1.29,1.213,Sweet Lip Reef 02A
1995,1.397,1.317,1.84,Sweet Lip Reef 02A
1996,1.27,1.33,1.69,Sweet Lip Reef 02A
1997,1.499,1.321,1.98,Sweet Lip Reef 02A
1998,1.295,1.325,1.716,Sweet Lip Reef 02A
1999,1.651,1.338,2.209,Sweet Lip Reef 02A
2000,1.422,1.31,1.863,Sweet Lip Reef 02A
